24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\193\0\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\291\0\-1,24\3\4\1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\5,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\4,24\291\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\331\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\330\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\3\4\-1,24\4\2\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\3\3\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\1\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\1\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\1\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\2\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\4\1\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1,24\-1\0\-1
